user_name,user_loc,comment_text
Scotsman243, Edinburgh,"The palms, the chest and the forehead.  Are you suggesting we ditch changing cubicles in swimming pools? Have a bit of respect. Shows how scummy the BBC is to ge a tabloid scoop in the changing rooms."
Didimumisit, Blackpool,Paid by Hasbeen and Meagain to get footage for their next Netflix series 
Kamikaze pigeon, Gods country,Now that wouldn't surprise me
frames, London,"Given that the whole thing looked like an am-dram production (Cheltenham Little Theatre) of Murder in the Cathdral, it's no surprise that that the lead actor threw a hissy fit."
Us, In the UK,Was he arrested?
Whelking, Brighton,Medieval mumbo jumbo
XYXZ, London,Some sa tan ic rituals.
BibliophileUK, Plymouth,Satan doesn't exist except in the imaginations of deluded idiots like you!!!
XYXZ, London,It sure exists for them!
theviking., Berwick Upon Tweed,Thought he would make money on the side!
CrazyOneOhOne, Birmingham,This doesn't surprise me in the slightest. The BBC seem to hate England and our traditions and values.
Estel, Oxford,Should have barred all the bbc.
Lizzie, London,Probably moonlighting for Netflix 
Forlorn Hope, London,The BBC's arrogance and left-wing bias knows no bounds.
CrazyOneOhOne, Birmingham,Indeed. Sickening.
Dorsetwolf, Bournemouth,Is this really 2023? Hard to believe reading this nonsense.
CharlieGeorgeAgain, Pembroke,"Clearly, you have major trouble understanding that tradition and a thoroughness in adhering to set practices and situations such as this is what marks this country out from the rest of the world.

It's what makes Britain's royal family, THE royal family, when anyone around the globe is talking about royalty and the monarchy.

You just don't get it. And that's fine.

Just don't whine when the majority DO get it."
David Bachauer, Manchester UK,Agree -experience and reason should be the guide- the ritual is absurd and tradition  is a wretched argument for anything.
Dutchie of Dorset, Bournemouth,BBC employee ... now why doesnt that surprise me . I am glad he got removed. Now go a step further and remove BBC out of our lives too!  They are so anti UK at any opportunity . Disgusting firm.
CrazyOneOhOne, Birmingham,Well said
Joho v, Southend,I think it was the most blasphemous part. Holy oil my right foot. 
CrazyOneOhOne, Birmingham,"It's been blessed, hence 'holy'. Not really that hard to understand."
Brighton_coast, Brighton,God is King nobody else !!
Bright_on_coast, Brighton,Not that secret as God's watching!!
Bright_on_coast, Brighton,"Keep praying Bibliophilistine - I suppose you just fell from the sky. Remember, deluded and idiot are your words not mine so own them - you're the idiot?!! Yes, indeed 21st Century, so ruddy well learn from the past and stop this nonsense that you speak of or are you imaginary too?!! Methinks YES!!"
A Trusting Soul, Stour by the Sea,There will always be some journalist trying to get a scoop no matter what occasion 
CarrieGrant, London,Typical BBC!
Animalmag, Battersea,It's there incase it initially falls off
Krakenish, Berwickshire,What falls off? The screen is to obscure the ceremony in which the monarch has oil placed on him in several places by the archbishop.
Saveloy, London,Nasty BBC.
Dr Eamer, Essex,Familiarity breeds contempt.
carl2911, Taipei ,Why so secretive about it ? 
ParaJack, Chester,"I would tell you, but it's a secret."
carl2911, Taipei ,@ parajack .....tease ...lol 
Moogabee, Cardiff,"At the very least the head of BBC should personally call the palace immediately to apologise but as usual, his silent 'wait n see' attitude hoping it will all go away shows how weak and spineless he is. "
Artlessbodger, Utopia,I wouldn't let the BBC anywhere near a British institution.
I pace, cambridgeshire,Does he think he's some kind of deity!
Jan Spencer, Marlborough,Annoiting the king goes back thousands of years and is a world wide custom
Seldom published, Belfast,"I am surprised the Royal Family give the BBC any access at all given its track record, the Princess Diana interview comes to mind."
MysteryMike, Salisbury,The Royal Family's own track record isn't something to be proud of.
Morerum, London,This type off ceremony in this century looks ridiculous no need for a coronation .
Britannia172, Ely,Has your visa expired?
Morerum, London,Cast your net upon the waters and catch the minnows  United we Conquer . 
Ten to the Dozen, Sand,"lets hope they crushed the phone, then again it was probably a company one, bought by the tax payer"
Shielding, Manchester,Aunty has truly lost the moral  plot. Nothing can stop the BBCs decline 
Malajusted2020, Sadly in Wales,What century are we in?
Saveloy, London,If you don't know that there's no hope.
silent voices, somewhere,It's called tradition. Of which we have precious little left in this country.
HotVoice, Kent,Its tradition that the oiling up is done behind a screen.
danny1412, Surrey ,Scrap the license fee. We don't condone the abuse of trust from the BBC
BibliophileUK, Plymouth,Licence.
Kingwithbagsofcash, Bootlickers close,Free speech is now dead carnt wait to see the pensioners get baton charged for speaking out 
Saveloy, London,You can't spell properly.
Kingwithbagsofcash, Bootlickers close,Can you stand up by yourself 
Colin.B, Guildford,If the BBC don't sack the cameraman it will show they are complicit in his attempt to record this part of the ceremony.
greycoat80, England,The sacred anointing lol can't believe I'm reading about such rubbish in 2023
mepersonally, UK,You sound very small minded.
Saveloy, London,You're free to leave anytime
Medicine Man, Wonderland,You cant film child sacrifice
Saveloy, London,You would know
BibliophileUK, Plymouth,Go back to the David Icke website troll.
TheRationalOne, Montpellier,"This was a very bad, disgusting thing to do but I think while BBC is the pits in so many areas here I will not accuse BBC of this major gaffe because it is the fault of that idiot. "
Jane, U.K.,Good now for a complete overhaul of The British Biased Corporation  with it immediately defunded  with this journalist fired without any severance
Erehwon, Maidstone,Nothing the BBC does these days appears to be an accident.
HenryUppington, Kensington,Well done Your Majesty. Maybe have a word with Rishi about getting them defunded too
Penny2MB, Cambridge,When is the BBC being defunded? 
as I was sayin, worlds end,"Government have backtracked on that commitment now , we continue to Pay"
gustavfenk, Vienna,You mean the part where he secretly pledges allegiance to the Prince of Darkness?
Shielding, Manchester,Glad you live in Vienna
BibliophileUK, Plymouth,Why would King Charles pledge allegiance to Ozzy Osbourne? (Sarcasm fully intended!!!!).
Manilva, newcastle upon tyne,"Probably another Lefty, Woke enthusiast from the BBC. Surreptitiously take footage on his mobile then post it on social media and mock the pomp and pageantry. They're all sooooo predictable! Pleased he was spotted. "
Nebuchadnezza, Northerner down south,Where is the BBC outrage??. Is this true??. Why aren't the BBC APOLOGISING??. They're quick to jump on other professions aren't they??. Utter joke!!.
david m, glasgow,What a load of nonsense of hiding the the sacred anointing.
Pete, Out In The Hills,The whole thing is nonsense but it's good showbiz.
Safe Haven, London,"The public paid for all this, so I dont see why we dont get to see the whole show"
BibliophileUK, Plymouth,You clearly DON'T understand the tradition then.
JohnyM, London,So they use olive oil then...
MinionBob, Suffolk,"Extra virgin, that would be ironic"
Pete, Out In The Hills,They could just get some used oil from the chippy down the road.
Pete, Out In The Hills,"It's all a bit mumbo-jumbo, eh?  I'm neutral on the royals because it won't make a speck of difference to my life whether they're just rich folk or rich folk with crowns but enjoyed the coronation schtick on TV because it was good showbiz and a tour-de-force from the logistics and technical angles."
Commonsence Norfolk, Kings lynn,"That moment isnt all about the oil, it a moment between the man and his God, so good for Charles, but I bet the BBC take no action with the individual even thought he was representing them."
Tracey99N, Poole,Some stupid comments by people who don't read further than the first paragraph. They were practicing the coronation & a BBC staff member tried to record footage on a mobile obviously to sell to the media before the actual coronation. Abuse of trust. Fire him.
N. Le G, Daventry ,"What else do you expect from the disrespectful BBC, where the first B stands for anything except British!"
AprilTruscottSmart, Buckinghamshire,What a disgraceful act by a privileged photographer. Imagine the money he could have made from selling photos if he had succeeded. If the people involved wanted to keep part of the ceremony private they had every right to do so. 
Tezack, Rotherham,Supped Phil and holly wernt behind the screens
owdcodgerjones, manchester,aahhh you mean with that sacred snake oil
MrMuckle, Birmingham,WEF oil. 
JoshRipley, Metropolis,"Well done, Charles."
StraightandNarrow, London,"What on earth is so secretive, sounds rather childish to me"
mepersonally, UK,Rather like yourself?
General Desborough, Republic of Great Britain,Annointed with sacred oil in secret? Seriously?
Max20000, Manchester,Throw the BBC out the Country for me Chuck.
Utterlyfrank, Southampton,The Daily Mirror comments must be very slim today. They've sent their best here. You can tell by the low quality of their uneducated comments.
Utterlyfrank, Southampton,I see you're from Birmingham..... oh I am sorry. That must be quite a load to carry!
Utterlyfrank, Southampton,I'm not sure anything is going to rub off on you... and I know why.... and you don't.
Mydonose, Amsterdam,Good for Charles. No one would like to see him naked or whatever.
Tulsa2406, Stoke on Trent,No one would see him naked -idiot
boris.johnson, London,Lol something very smutty about that whole thing
expat, auckland,His coronation his rules just where is the problem.
MysteryMike, Salisbury,"We paid for it, so technically it's OUR coronation."
expat, auckland,So if a father paid for a wedding he would have full control over all the wedding ...I don't think  so..
memyself, Southampton,And Camilla appears after they take the screens away.
Mensa International, Caythorpe,This ceremony would have been a lot more private had he not invited camera crews to film it.
Personalive, LEIGH-ON-SEA,You mean like his Mothers?
Brexit bonus, Gammon Roll,"Amazing that old sausage fingers was the only person who spotted this, more likely that he has taken a dislike to someone, another pen moment or just perhaps the colour of their skin.  "
Kefala, Voula,behind a screen anointed with Holy Oil...my blood is boiling and the words I want to write would get me banned for life by the DM....
Personalive, LEIGH-ON-SEA,"Oh dear! and not even anything to do with you or your Country if you really do live there?


Country if you really do live there?"
MysteryMike, Salisbury,Why is it so private? Do they anoint his John Thomas? Could do with some of those screens on the beach. Would look quite spiffy.
Max20000, Manchester,Comment of the day. So Far...
Mount Athos, Athens,"Invasion of Privacy, by the BBC paparazzi we are forced to pay for by law, the News of the World was closed down for less"
Max20000, Manchester,You only have to pay if you watch it. I for one do not watch or pay. No TV or licence for the last 17 years.
lisa, newcastle upon tyne,So many disrespectful comments on here  today
MrMuckle, Birmingham,Our King's support for the agenda of The World Economic Forum is disrespectful to those he considers his subjects.  
Cambs 2022, Cambridge,"How very religious, anointed before God - having himself broken one of his commandments as an adulterer."
Quentin5, Maha Sarakham,"Mother, put that stone down."
MrMuckle, Birmingham,"His support for the agenda of The World Economic Forum won't go down well with The Lord, either. "
ErnestNowell, Goole,"Dear oh dear, the sad and Republicans out in force today."
General Desborough, Republic of Great Britain,"Dear oh dear, the sad bootlickers and  hem sniffers are out in force today."
MrMuckle, Birmingham,"Why would you fawn all over a king who supports the agenda of The World Economic Forum?

Research the plans that sinister organisation has for you and yours.  "
Dschingis, Jena,Is that a changing room
Utterlyfrank, Southampton,Are you 5?
Personalive, LEIGH-ON-SEA,"Dense, so very dense"
Foto, Omaha,'...the sacred anointment...' 'Holy oil?' What gibberish! What idiocy!
WiseOne2023, London,"Says somebody who is jealous that he doesn't have 2,000 years of History."
MrMuckle, Birmingham,"Never mind sacred anointment.
What can be done to ensure a fair presidential election in 2024?

God bless America and its patriots.  "
Buzzsawww, Republic of Scotland,"The worst part is to turn members of the armed forces into servants, heads bowed, and holding Chucks modesty screen.
Disgraceful!"
General Desborough, Republic of Great Britain,"I think Utterlyfrank is another of Jimmy's nom de plumes, there surely can't be two grovelling apologists for monarchy on these pages."
uktinkabell, Somewhere,There are some very sick people on this site again today.
Personalive, LEIGH-ON-SEA,And very thick as well!
MrMuckle, Birmingham,Our king supporting the agenda of The World Economic Forum is the sickest thing of all. 
bootsyjam, london,There should be NO secrecy in this. None
Utterlyfrank, Southampton,You just don't Get It do you!!!! Oh the education in the comprehensive battery Schools of this country is Soooooo lacking! Brainwashing by the Left!
Personalive, LEIGH-ON-SEA,Thick brick!
TVOReason, Middlesbrough,"Another disrespectful BBC employee, sack him"
Utterlyfrank, Southampton,The whole left wing BBC should be replaced.
trevorsmith, limbo,Must be the bit where they put an old teaspoon up the bottom. Kate found that bit hilarious.
Utterlyfrank, Southampton,Your state school education is showing! I'm sure that what your left wing teachers taught you!
MrMuckle, Birmingham,Bald Billy is looking forward to that part. 
Alphaplus, London,"Warrants a one way ticket to The Tower, traitor!"
Pufinbill, Norwich,Pathetic 
NuffSaid2, North,Probably thought he could be awarded the Pulitzer prize.
Foto, Omaha,"The Pulitzer Prize is for pint media, not TV."
julie, leeds,Good for him rules are rules !
Redcarman, Redcar,Almost caught Charley checking the contents of his carrier bags ...!!
Buzzsawww, Republic of Scotland,Abolish Klown Charles and his dysfunctional family. They are the descendents of Robber Barons and medieval mafia that stole from YOUR ancestors. 
Pufinbill, Norwich,Well put its a shame nobody takes notice
LastOutTurnOffLights, London,'Most intimate moment'  LM AO
treborlocin, glasgow,Him and Camila up the back seats then.
DonaldTramp, Yorkshire ,Was Charles having a quick piddle behind there.......?!..
Beyond the Sea, Land of Nod,Without reading I would have known it was the BBC.
asgoodasitgets25, London,So what is the secret part? Trousers down?
jo jojo, chester,"He  had  to  remove  his  shirt   as   the oil is  rubbed  on  his  chest,   does  anyone  know  if  this  ceremony  was  part  of  the late  queens  coronation"
Shopper100, Derby,"Yes it was, don't know if it's always been the case"
thank_you_china, Somewhere,Poor guy gets the sack for filming Charles putting on his Halloween costume? Bit ridiculous.
Lars Gonaards, The Collapsing Empire,"The daub the Royal Jewels in time honoured tradition, only this time it's with an olive oil blend"
charlotte, leeds,The BBC are disgusting
Lars Gonaards, The Collapsing Empire,"Are we to believe it's gods will or just a bloke whose family managed to steal, plunder and kill better than others?"
pam1696, chester,"Of course it was a BBC reporter, enough said..."
WellColourMeHappy, An island,Trust BBC always think theyre above everything and everyone.
Philosphical Me, Watford,More DM hypocrisy.  There is nothing secret about the anointing - it is a key part of the ceremony.  However the King had every right to receive it in private.  Does this mean DM is now going to champion His Majesty's Privacy World Tour because it hates the BBC?  Of course not.
Bathsheba89, Haverfordwest,No no no. There is more to this believe me.
Crochetcrafter, Colchester,"Yes , yes,  it's called money..."
Lars Gonaards, The Collapsing Empire,They daub his grapes with oil....
Aghastatignorance, Washington,That's the Pope you're thinking of.
puddytatt, sheffield,You're childish.
Lars Gonaards, The Collapsing Empire,Dabbing a bit of olive oil on his grapes... true
Arisiles, UK,That sounds just like the church! Lets play with mens.... then pretend its a sin!
birds eye, Reading,King Charles not giving the BBC a Diana moment not the first time the organisation has introduced on the RF.
Lars Gonaards, The Collapsing Empire,The anointing is where the dab a bit of olive on his billiard balls
Tulsa2406, Stoke on Trent,"No they don't, moron - head breast and hands"
chale, Bournemouth,What a ridiculous  tradition. Why is it so sacred?
Evidence, Barnsley,"It's sacrilegious if anything, for believers."
AmpneyCrucis, Cardiff,The DM has a BBC fetish
Nick, Soton,"Vegan - I don't think anyone despises anything - except ignorance and stupidity. What bothers folk about the BBC is that it has a clear mandate, the funding, the range, the resources to produce first class truly honest programming. Instead it chooses biased, Left wing, big state socialist tripe. It's lies, deceit and propaganda are endless. Worse, because of the historical value it had, people continue to believe trust it and those lies become accepted. "
AmpneyCrucis, Cardiff,"I have got no strong views on the BBC one way or the other, but I am baffled as to why the DM is so obsessed with it.  Mind you, I despise the DM but I keep looking at it."
Smallgreenbouncyone, here,That part of the ceremony is supposed to be PRIVATE - just Welby and Charles - and NO-ONE ELSE!!!!!!
Shopper100, Derby,"Don't know whether this has always happened,  but certainly it happened at Queen Elizabeth's coronation, so presumably it's always been like that not just something Charles wanted "
AmpneyCrucis, Cardiff,They were practicing the secret handshake 
Teejam140, London,"The anointment is a very private and spiritual part of the ceremony, especially so for King Charles who believes in God, That man trying film the moment is comparable to a journalist spying on someone in confession with their priest in church. Totally despicable behaviour, youd expect that from a tabloid jounalist but not a representative of the BBC"
Evidence, Barnsley,So god was anointing him with special powers? Just him. 
made in uk, blackburn,"Behind the screen ??  Holy oils lol.
Our and agremnt with him down stairs??"
AmpneyCrucis, Cardiff,Furious King slams the BBC
Lightanddark1111, Pleadian,I feel this where he shape shifts back into a reptilian for his anointing 
Smallgreenbouncyone, here,Bore off!
ODan2022, Osaka,I needed a laugh.
ANDY, LONDON,"Another day, another bashing of the BBC by the DM. Funny the DM was gunning for the BBC over the weekend for covering the Anti monarchy protesters, but the police have now apologised, wonder if the DM will and whets the article on the police apology?"
Ibowtonobody, Up north ,And Lee Anderson 
EmmaHarris, North,"Charles is a miserable person, prone to temper displays and used to getting his own way."
Arisiles, UK,Think you would be a bit upset if some was filming you at what you feel is private moment
EmmaHarris, North,It is well documented and seen live on tv that he has a short temper fuse. Neither is it a good thing for the country and himself if he is fawned over from birth when in fact he is quite mediocre.
Siobhancarlie, Bramhall,Wow! Isnt it amazing that the only one to spot the cameraman lurking around was Charles!! It is a strange ceremony to me to have the King hidden from everybody but these rituals have strange reasonings and the cameraman probably wanted to be the one to know what really happens behind the screen. Such a shame he is out on his ear now.
Aghastatignorance, Washington,Charles was the only one facing that direction.
Siobhancarlie, Bramhall,"That makes sense aghast, and lucky Charles was facing that way. The bloke is probably kicking himself for being so stupid."
Personalive, LEIGH-ON-SEA,"Good for Charles , always has to be one creep trying to get a private photo, or record a private moment.
All mobile phones should have been taken away from the people who were there to record it for TV !
People in the BBC think they can say and do as they please!"
AmpneyCrucis, Cardiff,Its lucky the DM never do that
Lolly310, Hampshire,More speculative nonsense from well placed 'sources'. Same as the article on H and did he didn't he pop in to the palace.
Rekt-AF_, Hertfordshire,"Sentence him 60 days on The Rack, then, 50 years in an Iron Maiden. Jobs a gooden. "
The Great McGonagall, Leeds,"What on earth are 2 rock bands going to do, deafen him or play him to death"
soniad, Nottingham,"BBC presenter yesterday said she thought the Coronation was a waste of money. Despite an eminent financial expert explaining the huge benefits to the country, she persisted. I never usually watch BBC news, it was a mistake. Defund them!"
Ibowtonobody, Up north ,There are more tourists visiting French palaces than British ones and they got rid of the BBC centuries ago. Go figure.
Ibowtonobody, Up north ,*the monarchy not the BBC 
BeckyBecks, London,"Is this report true? How come Charles is the one who noticed and nobody else? Why would a BBC cameraman be so unprofessional? If true, then he has a right to be sacked. "
Aghastatignorance, Washington,He was the only one facing that direction.
angus mccoatup, Manchester,"The cameraman knew what he was doing wasn't allowed, otherwise he wouldn't have been sneaking around and acting shiftily. No doubt, he intended to sell this footage on for personal profit. Having his accreditation torn up on the spot should be the least punishment that he suffers."
Ibowtonobody, Up north ,ALLEGEDLY!!!
Itsonlyme-UK, Hometown,"Thrown out of the Abbey?
Surely the Tower would have been the appropriate destination for this unclean peasant?"
Ibowtonobody, Up north ,What doing the tourist tour.
perry., Den Bosch,In the dungeon with him and boil him in a vat of oil.
Peter c, Hertford,"Make sure it's olive oil, much better finish. "
Melrose12, London,"Entitled peasants who think they can do what they like. I am surprised mobiles were not banned, people just cannot be trusted when they think they can make some money."
Moretodo, St Helier,"The BBC has form for poor behaviour,  should be renamed the Dodgy Broadcasting Service as they are becoming an embarrassment to Britain."
JennyLind, Narnia,This so called secret part of the ceremony is intimate because it has always been done on bare skin. 
Siobhancarlie, Bramhall,Ahhh so Charles got undressed! I see now! 
Glitz, in england,I am cancelling my TV licence today. I never watch BBC and it is no longer fit for purpose. 
Joeseph Bloggs , Newcastle,"Once you cancel it remember to apply for a refund (its not automatic) and you will get a whole year back as most paid upfront, plus you will get a part refund from this year too."
AmpneyCrucis, Cardiff,"I am furious with the BBC, I am going to slam it"
MissFliss123, Glasgow,"Surrounded by security, and nobody but Charles noticed the man?  "
Everton 1, Liverpool O,BBC......again. 
Michelle21, Wordsley,What do you mean 'again'? please elaborate.
NZBobby, Mansfield,Stop the Mumbo Jumbo!... It's time for a republic!
Personalive, LEIGH-ON-SEA,"Yes keep banging on about a Republic, but what are you doing to get one , apart from.standing around with your little not my king banners, all talk and no action! "
Personalive, LEIGH-ON-SEA,Grow up  and go back to mummy and daddy 
Peachy on East Coast, Blue Intelligentsia,These comments are akin to the mindless devotion Trumpers spew
mondeceitomoocher, Sunny CA Britain Really ,Your current president has no mind.
mondeceitomoocher, Sunny CA Britain Really ,"Appalling stunt, shows how low our national broadcaster has sunk."
Doctor Ash Tre, Los Angeles,I'm living here in my trailer and by God I'm sick of these people with their fancy talk and schooling. I fully support King Charles as he were anointed by the almighty himself and ain't that a fact.
Melrose12, London,"Trailer trash, off you go, Biden is serving your republic well."
LondonMarko, London,Do these clowns have funny handshakes too?
Platinum10, Shinington.,Well done the King. That it is what he asked and others should comply.
Cdg, Torbay,My daughter thought the screen was put around him because he needed a wee!
FredaPash, London,I wonder how much those ridiculous panels cost for that ridiculously stupid part of the ceremony
Laz62, Plymouth,"What else would you expect from the BBC.
"
Warriewood, Hapton,Why cannot people do as they have been asked.
BRExit FAIL, Sunningdale,"Intimate? It used to be civit oil, I won't say how it was extruded from the animal here but as Charles is woke wanted a vegan version so he was smeared in olive oil "
Personalive, LEIGH-ON-SEA,I am never confused!
BRExit FAIL, Sunningdale,Just a lying stooge then?
Lindy95, Oxford,What utter tosh
FredaPash, London,It was an utterly ridiculous part of the ceremony.
Slushypup, Cornwall,"So is putting mince pies out for Father Christmas, but it's tradition!"
BRExit FAIL, Sunningdale,"Mr pup, that's a tradition we got from Germany in the late 19th century thanks to prince Albert "
captains log, manchester,"You'd never get the DM doing that kind of thing.....according to their lip readers , sources and telecom researchers"
Everton 1, Liverpool O,Telecom researchers.....I laughed.
AmpneyCrucis, Cardiff,(cough) hacking (cough)
Northern neutral, Manchester,Is there really any actual difference between olive oil from Jerusalem and olive oil from a shop .....
Harlyn70, Feath,Where do you think the olive oil in the shop comes from?
AmpneyCrucis, Cardiff,Margarine would have done.
Naomi Cox, York,Why does it have to be hidden? We can't see the bare breast of the king? Sacred? What about Jesus? Was he full of all this pomp? No!
abcfgh, Over there, Your mocking a private moment concerning the King's faith means that there's an open invitation to film the dying moment of one of your nearest and dearest when the time comes. I mean why does it have to be hidden or sensibilities observed?
DMcL, Harrogate,"Would you like to sit there and remove your top of front of millions and bear your chest? You might, I certainly wouldn't. Ut was a breach of privacy. What is it with everyone theses days they have to see everything even at the risk of their jobs!"
heavenly hump , Isle of Skye,Defund the BBC! Not fit for purpose.
Yvonne333, East Sussex ENGLAND,A friend of harrys?!
HolmeBoy, Holmfirth,"Why the secrecy? What are they hiding from? A bishop a king and a bottle of oil, ooo I say."
Allie WR, North Norfolk Coast,"If the anointing had been filmed, people would be saying is nothing sacred anymore."
Sean McNeil, Edinburgh,Well done Charles
boudika, london,After Bashir set up Diana I think the BBC should be banned from going anywhere near the Royal Family....
ElBarone82, Sussex,Am sure the guy was working for Murdoch trying to get the pictures no one  else was allowed... 
Kissin, London,Typical BBC.
Clearform44, Leeds,Where's that then you royalist sausage .
Paul111, Somewhere,"Yet again, the BBC and their staff doing the wrong thing !!!"
Nolier, no,Charles is a choleric man
Applegarth, Oxford,And you Madame are very silly girl.
Clearform44, Leeds,"What's that then? Speak up, don't be afraid. Mind you, you do have an excuse for being stupid, you live in Hull. What a dump."
Formula1, Durham,Clearly you an appalling individual who enjoys been nasty to others behind social media!
Aghastatignorance, Washington,What's your excuse for not using the reply button?
Manuel Worker, Oxford,Perks of the job.A few extra exclusive pics.for cash in hand.
Old and Proud, Glasgow,Quite right!!
mike max, dordrecht,Allegedly. 
Hawkeye, Sub-tropical South Devon,Photos are for sale on e-bay.
Saveloy, London,The dirty BBC
Sara17, Hollingbourne,How rude of that Camera man!!!
Facts1010, London,I bet the king was having a wee behind the curtain and the anointment was a rouse ;) Long ceremony without a toilet break for an old gent dont you think?
Lulubell22, Cardiff,Miserable
puddytatt, sheffield,You're just Thick.
tayop, london,It's normal journalistic instinct to reveal the hidden..he was only trying to do his job as a photo journalist
Wishilivedelsewhere, Utopia,"That failed at that during cov,id then. "
hognog, Birmingham,So no morals then? No respect for an individuals right to privacy? Sums up the BBC at the moment.
Zaphe, Traws,What on earth??? Where's David Icke when you need him?
Watchingman, Loughborough,Great reporting from a paper that uses lip readers to report on private conversations
Fwederick, Stafford,"Nothing is private if you are visible in public. Lip readers are hardly a new thing, they'll have AI that can do it soon if they don't already."
Watchingman, Loughborough,"That's a good point; I was in the pub the other day, and i could lip read your GP talking about your haemorrhoids"
Heather, London,"Seeing that the public SAW it ALL on TV I don't understand, if it wasn't meant for the public to see why was it shown to us to see on TV?"
Bernadette, Cork,The anointing was not shown on TV. 
pammio1, Weymouth,The BBC camerman was filming during the rehearsal on his private phone. This is not allowed and he was quite rightly thrown out.
Pandora22, somewhere ,I don't understand the need for a sacred anointing?
Applegarth, Oxford,I think we all understand poppet.
Pandora22, somewhere ,A lot of clowns here I see today
Influencer , London ,should be thrown in a dungeon 
Denehurst, London,Not surprised it was a Photographer working for the Anti UK BBC
Normal Girl, Lincoln,"4 panelled screen? There were 3 panels, DM"
tis grim up north, up north,Sack him simples
Marty1214, London,Hoping to make a quick buck.
Clearform44, Leeds,I've learnt that royalists are a load of idiots who like to feel subservient. Keep tugging your forelock's.
NO to Hull Tigers, HULL,i've heard Republicans keep tugging something else
Saveloy, London,WHY ARE YOU STILL HERE THEN??
Rob London, LONDON,Why wasn't he sacked?
Doctor Ash Tre, Los Angeles,"I'm sick of all these people who think they are all that. They think that having an education and using their brains means something. It doesn't.
Join us monarchists in supporting King Charles and his family
The earth is 6000 years old and his family created it."
Gsd2019, Uk,Earth is more like 4.4 billion years old approx not 6000 years 
puddytatt, sheffield,What?
Rob London, LONDON,He is definitely my King if he did that!
martmcg, warrington,Nice to see DM did their research and showed a photo of the wrong anointing oil container then!
BinkyBoo, Sheffield,Well I thought that but maybe it's the container used to transport the oil from Jerusalem. It was maybe then decanted into the Coronation ampulet?
RightWingTed, London,"If true, it's far more likely a newspaper tabloid was paying him. Work out for yourself who'd be most interested in that footage."
Suzymosaicquilts, Gloucester,Perhaps Netflix for Harry's next episode
Lord Devonshire, Torquay,I loathe the BBC.
manker, Derby,I believe it was Harry's man from Netflix in disguise.
Rugbeian, I am British TheHague,So disrespectful!
Doctor Clive, Petach Tikvah,Maybe he didn't want the world to see that they use oil from Tesco.
Rob London, LONDON,Tesco Finest though
RightWingTed, London,"It would hardly be the Everyday Essentials range, given, there is nothing essential about any of this nonsense."
Miss Sensible, London,So we now have an adulterer as the head of the Church.
funf, chesterfield,As was his ex wife.
Miss Sensible, London,"@funf, but his ex wife isn't the Head of the Church."
Dutty Bungle, Cambridge,Whatever happened to tbe BBC 
RightWingTed, London,"Maybe write and ask Tim Davie, or Richard Sharp for an explanation."
Idealogue, South West,'Allegedly'. It was in The Sun ffs!
Millymollymandy73, Hants,All this anointing is coming across very mysterious yet it was referred to in The Bible on occasions.
brian, Norfolk,Its a case of gross misconduct and the guy should be sacked. But knowing the BBC that will not happen.
DR PATTERSON, Nottingham,"It's the vile anti-monarchy, anti-Britain, anti-enterprise BBC who must be completely defunded over their dreadful biased coverage once again."
Najith, Britsol,"Seems thugs, vandals, misfits and idle folk have taken over society and are demanding the right to be destructive and inflammatory. Pffft."
default_, Diego Garcia,Bbc owned by the British government its chairman is a tory yet DM made its gullible readers that its run by the ta.liban and Diane abbot 
Strangleytoo, Sunny Uplands Unicornshire,I wonder what the king thinks about the DM using Iip readers to publish his private conversations?  I would say that is far more intrusive than revealing how a magic trick is done
Fooling no one, Berkshire,Or they just made it up.
seaview66, Liverpool,ALL MEDIA USE THEM
ClariceStarling67, Dordogne,"Ha ha ha, a shame he got caught. That would have been worth a mint!"
UK101, London,He was probably trying to get a selfie with the king in background you know what these liberal man children are like
PeeWee, Cheshire,You can always rely on the BBC .....
indespair, Epsom,Escorted out - hardly frog marched - but that would not be so dramatic.
Labradors rock, Poole,"As with the commentators using the coronation as a platform for their political agenda, the BBC had to screw up an otherwise faultless coverage."
shopgirl, eu,Jeeeez..moron.
Albo, Anytown,"Cameraman gets back to BBC- ""Sorry guys, I tried""."
LHB1968, Aberdeen,I so wish these hacks would check their copy before publication - Kins!!!!
ang2410, edinburgh,The bbc needs to be disbanded  Not fit for purpose
sufri, leeds,"whats the big secret anyway,is it Charlie in his undies."
Rose English , Newark England ,Read the history of your country.
Clemmie, London,Well sort of - the bare breast is anointed. It's very private and that should be respected by everyone including BBC employees. I suspect that man hoped to flog the footage for money. I'm glad his boss tore up his accreditation - quite right.
Josephine Agbobu, Lagos,"BBC, the most credible and professional news print in Britain. Out for facts no matter what it takes to get it."
PeeWee, Cheshire,Not always facts......
Shove your oar in, Boggy Bottom,I thought too at the actual coronation that the cameras were being much too obtrusive when Charles was supposed to be hidden behind the screens to be anointed. Very poor show.
No Policies Starmer, Swings like a Weathervane,The BBC hate Britain and they will do their best to destroy it.
Clearform44, Leeds,Sacred anointing?  What a load of religious twaddle. About time we got rid of this horrible family of benefit scroungers.
Stella Veasey, Coventry,Just your opinion. What about getting rid of the dinghy scroungers. They cost us a lot more.
Midsomer, Bath,Upvoted in error.
Gag on that, Seventy Oaks ,"A lefty, remoaner "
